INSERT INTO BES.Student VALUES(1,'StudentName-1','StudentDescription-1');
INSERT INTO BES.Student VALUES(2,'StudentName-2','StudentDescription-2');
INSERT INTO BES.Student VALUES(3,'StudentName-3','StudentDescription-3');
INSERT INTO BES.Student VALUES(4,'StudentName-4','StudentDescription-4');
INSERT INTO BES.Student VALUES(5,'StudentName-5','StudentDescription-5');
INSERT INTO BES.Student VALUES(6,'StudentName-6','StudentDescription-6');
INSERT INTO BES.Student VALUES(7,'StudentName-7','StudentDescription-7');
INSERT INTO BES.Student VALUES(8,'StudentName-8','StudentDescription-8');
INSERT INTO BES.Student VALUES(9,'StudentName-9','StudentDescription-9');
INSERT INTO BES.Student VALUES(10,'StudentName-10','StudentDescription-10');
INSERT INTO BES.Student VALUES(11,'StudentName-11','StudentDescription-11');
INSERT INTO BES.Student VALUES(12,'StudentName-12','StudentDescription-12');
INSERT INTO BES.Student VALUES(13,'StudentName-13','StudentDescription-13');
INSERT INTO BES.Student VALUES(14,'StudentName-14','StudentDescription-14');
INSERT INTO BES.Student VALUES(15,'StudentName-15','StudentDescription-15');
INSERT INTO BES.Student VALUES(16,'StudentName-16','StudentDescription-16');
INSERT INTO BES.Student VALUES(17,'StudentName-17','StudentDescription-17');
INSERT INTO BES.Student VALUES(18,'StudentName-18','StudentDescription-18');
INSERT INTO BES.Student VALUES(19,'StudentName-19','StudentDescription-19');
INSERT INTO BES.Student VALUES(20,'StudentName-20','StudentDescription-20');
INSERT INTO BES.Student VALUES(21,'StudentName-21','StudentDescription-21');
INSERT INTO BES.Student VALUES(22,'StudentName-22','StudentDescription-22');
INSERT INTO BES.Student VALUES(23,'StudentName-23','StudentDescription-23');
INSERT INTO BES.Student VALUES(24,'StudentName-24','StudentDescription-24');
INSERT INTO BES.Student VALUES(25,'StudentName-25','StudentDescription-25');
INSERT INTO BES.Student VALUES(26,'StudentName-26','StudentDescription-26');
INSERT INTO BES.Student VALUES(27,'StudentName-27','StudentDescription-27');
